n,Time
0,0.0
200,0.0
400,0.0
600,0.0
800,0.0
1000,1720.4744209200676
1200,1731.386954854794
1400,1694.6450977334123
1600,2168.2765051595084
1800,2032.977886362501
2000,2334.7650765358085
2200,2426.6191879844705
2400,2881.6855278008525
2600,3126.939894469254
2800,3089.9890737234437
3000,3603.41070395477
3200,4120.834460817547
3400,4223.714090629624
3600,3700.6017304659117
3800,4719.427006094234
4000,4450.306270950286
4200,4217.682862567621
4400,4685.157868535676
4600,4337.702583612864
4800,5244.790790430656
5000,5727.157081773382
5200,4881.007626821496
5400,5122.2218304030475
5600,5489.998821753586
5800,5709.2884018002005
6000,5085.138842120684
6200,5118.8483637706195
6400,5580.872397045662
6600,5061.8168902582265
6800,6316.839368064087
7000,6426.574286297483
7200,5548.550872319557
7400,6238.476533346428
7600,6222.158829918968
7800,5496.766480069899
8000,5471.315575418176
8200,5607.0211439534405
8400,5343.064843189858
8600,5147.081442959151
8800,4614.363417392117
9000,5315.322922531009
9200,5138.202263883654
9400,4533.601469914955
9600,4436.684851294718
9800,4145.4328181298215
10000,4767.572307900242
10200,4563.760608911295
10400,4336.523693913085
10600,3790.506415175588
10800,3480.023150993921
11000,3872.6980948144474
11200,3889.9522572214205
11400,3817.5172503293243
11600,3189.0204555776118
11800,3007.3785811092857
12000,3451.1742080753784
12200,3137.272200663319
12400,3153.7689958608935
12600,2616.9655838867247
12800,2687.0136935390647
13000,2405.4946390382815
13200,2536.158446269942
13400,2372.5957303281375
13600,2369.645447759585
13800,2161.611779180418
14000,2099.9581553583525
14200,1917.474261196113
14400,1814.4376144493053
14600,1841.3217068496745
14800,1787.876633139839
15000,2020.2940021450695
15200,1544.6959355643125
15400,1570.751782350551
15600,1644.210903389812
15800,1686.3753570609429
16000,1421.2197944987736
16200,1375.904501050037
16400,1588.2073203263747
16600,1172.0480900923353
16800,1454.8905736428524
17000,1244.85284825581
17200,1352.3906410743677
17400,1242.0572671562413
17600,1288.0238892810155
17800,1225.661594808547
18000,1015.5532908763909
18200,1004.7767767883196
18400,1005.070131557577
18600,857.9183302448894
18800,938.8137315793615
19000,891.59173212927
19200,777.7274760318431
19400,780.2778670643468
19600,719.9354749179796
19800,886.4427760499261
