n,Time
10,1699.28
20,1886.54
30,1613.51
40,1651.63
50,1164.05
60,1771.49
70,1597.87
80,1630.11
90,1269.04
100,1917.02
110,1540.77
120,1562.44
130,1834.81
140,2000.26
150,2213.78
160,1800.07
170,1512.11
180,1610.14
190,1796.12
200,2607.70
210,1713.43
220,1596.50
230,1872.72
240,1561.94
250,2658.36
260,1558.80
270,2038.18
280,2111.84
290,2472.79
300,1892.32
310,2598.18
320,2604.45
330,1771.81
340,2758.02
350,2882.23
360,1952.43
370,1880.97
380,2440.15
390,3072.91
400,2962.37
410,2382.62
420,2500.23
430,2784.47
440,3232.15
450,2469.99
460,2216.95
470,2084.21
480,3489.86
490,3198.32
500,2482.91
510,3224.32
520,4401.36
530,4423.20
540,2965.89
550,3802.64
560,5003.20
570,3811.43
580,4845.65
590,5244.25
600,4399.63
610,4352.53
620,4452.19
630,5596.34
640,3607.71
650,4409.99
660,5738.66
670,5541.63
680,5793.39
690,5600.30
700,5984.80
710,3945.03
720,5986.15
730,3907.17
740,4045.47
750,6026.47
760,5847.57
770,5598.43
780,5537.98
790,5203.33
800,3816.98
810,6001.45
820,3927.56
830,6060.48
840,5592.61
850,5277.59
860,5250.78
870,6393.05
880,4564.55
890,4074.19
900,5092.92
910,6330.69
920,4115.72
930,5116.58
940,6558.02
950,3694.93
960,6471.34
970,5235.49
980,3972.63
990,6469.41
1000,6036.21
1010,5826.69
1020,3943.34
1030,3773.16
1040,4701.25
1050,4438.39
1060,5179.93
1070,3559.19
1080,5401.25
1090,4931.19
1100,6144.05
1110,4345.76
1120,6242.28
1130,5377.33
1140,6295.08
1150,3883.78
1160,5873.00
1170,4984.89
1180,5249.30
1190,3670.15
1200,3516.96
1210,5997.50
1220,5003.35
1230,5078.76
1240,6038.60
1250,5653.72
1260,6132.47
1270,3962.73
1280,4653.90
1290,5834.47
1300,3534.34
1310,5543.52
1320,4025.32
1330,5513.14
1340,3728.75
1350,3307.32
1360,3255.45
1370,4763.99
1380,3314.44
1390,5833.41
1400,4294.28
1410,3763.91
1420,3602.06
1430,5477.54
1440,3665.03
1450,5671.87
1460,4580.22
1470,3216.33
1480,4293.73
1490,4683.39
1500,3437.29
1510,5276.46
1520,4934.85
1530,3271.62
1540,3456.57
1550,3969.54
1560,3446.97
1570,4349.47
1580,3009.43
1590,4816.14
1600,4629.25
1610,3393.78
1620,4764.46
1630,5007.30
1640,3597.93
1650,3808.16
1660,2903.28
1670,2836.98
1680,3297.28
1690,3415.00
1700,5153.93
1710,5065.30
1720,3925.09
1730,2893.63
1740,4128.84
1750,5017.16
1760,3775.55
1770,2944.88
1780,2942.63
1790,3496.51
1800,4540.34
1810,4268.03
1820,4568.89
1830,4132.59
1840,3670.57
1850,2903.15
1860,3542.72
1870,3364.20
1880,3220.76
1890,3816.81
1900,3461.77
1910,3062.41
1920,3401.91
1930,4031.62
1940,2943.72
1950,2590.60
1960,2529.00
1970,3526.30
1980,4093.03
1990,4159.24
2000,3796.66
2010,3811.30
2020,2935.44
2030,4110.17
2040,3484.95
2050,4191.93
2060,2418.42
2070,3573.65
2080,2855.20
2090,2439.26
2100,3834.34
2110,3887.60
2120,4180.78
2130,3962.19
2140,2347.53
2150,3588.45
2160,4082.56
2170,3350.11
2180,3820.40
2190,2836.03
2200,3486.73
2210,3211.88
2220,2925.71
2230,3230.48
2240,3154.36
2250,3785.34
2260,3064.10
2270,3015.77
2280,3686.10
2290,2923.68
2300,2437.27
2310,2723.35
2320,2424.06
2330,3217.73
2340,3857.96
2350,2920.42
2360,2644.39
2370,3622.30
2380,3540.21
2390,2348.07
2400,2961.34
2410,3759.98
2420,3270.75
2430,2050.96
2440,2401.96
2450,2507.84
2460,2017.22
2470,2449.34
2480,2106.88
2490,2424.31
2500,2098.86
2510,1997.37
2520,2281.25
2530,2387.54
2540,3489.20
2550,2536.07
2560,1987.20
2570,3023.98
2580,2972.71
2590,2318.19
2600,3293.33
2610,2431.80
2620,2065.21
2630,2382.60
2640,3393.66
2650,2956.46
2660,1985.70
2670,3044.84
2680,2565.47
2690,2965.65
2700,2179.12
2710,2712.23
2720,2436.24
2730,2012.39
2740,2144.09
2750,2002.80
2760,2290.46
2770,1996.87
2780,2351.03
2790,2826.59
2800,3033.54
2810,1734.92
2820,2824.59
2830,1799.82
2840,3027.20
2850,1756.53
2860,1854.61
2870,1827.71
2880,2235.85
2890,1848.12
2900,2538.10
2910,2041.21
2920,2671.95
2930,1826.88
2940,2888.51
2950,2275.86
2960,2054.40
2970,2262.60
2980,2650.68
2990,1861.96
3000,1627.70
3010,2701.46
3020,1937.34
3030,2620.42
3040,1996.70
3050,1988.51
3060,2868.30
3070,2581.31
3080,1998.48
3090,1649.42
3100,1973.35
3110,2803.06
3120,2289.60
3130,2561.21
3140,1894.38
3150,1619.16
3160,1720.87
3170,2577.72
3180,2521.80
3190,2207.76
3200,2184.67
3210,2830.94
3220,2410.16
3230,1594.10
3240,1998.86
3250,1687.38
3260,2769.69
3270,2132.48
3280,1909.77
3290,1735.07
3300,2577.08
3310,2176.96
3320,2426.96
3330,1897.30
3340,2234.85
3350,1632.52
3360,2495.37
3370,1683.88
3380,1998.18
3390,1556.54
3400,2318.04
3410,2176.39
3420,2749.87
3430,2095.12
3440,2005.32
3450,2498.01
3460,1768.64
3470,2540.47
3480,1601.60
3490,2366.47
3500,2802.88
3510,2619.09
3520,2722.45
3530,2556.05
3540,1779.08
3550,2445.88
3560,1504.14
3570,2594.58
3580,2627.16
3590,1521.73
3600,1768.41
3610,1808.46
3620,2215.47
3630,1784.98
3640,1913.54
3650,2649.60
3660,2291.59
3670,2334.35
3680,1950.06
3690,2745.91
3700,2176.61
3710,1988.59
3720,1550.78
3730,1547.12
3740,2405.15
3750,2272.04
3760,1539.72
3770,2295.36
3780,2357.67
3790,2022.06
3800,2520.45
3810,1794.97
3820,1722.26
3830,1986.78
3840,1797.77
3850,2576.53
3860,2251.77
3870,1556.70
3880,2672.55
3890,1624.64
3900,2162.41
3910,2564.98
3920,2400.40
3930,1601.48
3940,2071.62
3950,1726.46
3960,1900.61
3970,1501.94
3980,2423.12
3990,1696.91
4000,2252.28
4010,1477.82
4020,2584.61
4030,1465.71
4040,1991.34
4050,1916.69
4060,2407.18
4070,1914.14
4080,2109.21
4090,2457.82
4100,2405.33
4110,1898.35
4120,1563.91
4130,1620.65
4140,2317.47
4150,2571.27
4160,1574.96
4170,1943.97
4180,2483.21
4190,1880.89
4200,2318.62
4210,2102.83
4220,1989.15
4230,1690.37
4240,1484.44
4250,1849.30
4260,1478.78
4270,2252.94
4280,1491.32
4290,1700.15
4300,2331.96
4310,1718.20
4320,2339.61
4330,2627.18
4340,1907.01
4350,1670.63
4360,1860.95
4370,2446.05
4380,2389.48
4390,1984.95
4400,2211.58
4410,1998.87
4420,2350.46
4430,2608.32
4440,2369.50
4450,1549.13
4460,1889.63
4470,1736.62
4480,1740.97
4490,1642.97
4500,2376.74
4510,2157.93
4520,2592.55
4530,1919.14
4540,1704.24
4550,2122.57
4560,2613.28
4570,2555.45
4580,2544.69
4590,1881.11
4600,2618.18
4610,1745.38
4620,2038.82
4630,1475.21
4640,2359.43
4650,2222.24
4660,1988.20
4670,2245.18
4680,1624.87
4690,2358.82
4700,1794.37
4710,2302.50
4720,2076.35
4730,1723.89
4740,1934.28
4750,1643.66
4760,2506.89
4770,1993.84
4780,2376.38
4790,2232.14
4800,2544.99
4810,1523.93
4820,2686.26
4830,2372.76
4840,2713.29
4850,2191.89
4860,1684.37
4870,2143.05
4880,1918.14
4890,2120.36
4900,1857.50
4910,2675.51
4920,1517.84
4930,2498.98
4940,2237.00
4950,2255.83
4960,2296.80
4970,2141.48
4980,2266.88
4990,2421.74
5000,1855.68
5010,2253.56
5020,2393.22
5030,2462.76
5040,1618.95
5050,2500.22
5060,2121.19
5070,1851.93
5080,2104.76
5090,2059.29
5100,2387.55
5110,2241.98
5120,2465.14
5130,2299.59
5140,1686.32
5150,2329.20
5160,1767.42
5170,2617.34
5180,1666.41
5190,1645.34
5200,2717.44
5210,2367.77
5220,1672.60
5230,1956.51
5240,2226.87
5250,2210.54
5260,1980.13
5270,1633.33
5280,1982.20
5290,2780.96
5300,1839.75
5310,2037.12
5320,2553.71
5330,2730.73
5340,2060.94
5350,2691.30
5360,2007.22
5370,2396.95
5380,1960.62
5390,1566.08
5400,2443.21
5410,2753.18
5420,1802.74
5430,2102.12
5440,2343.55
5450,1811.22
5460,1986.15
5470,2731.35
5480,2851.60
5490,2238.01
5500,2681.00
5510,1684.14
5520,1920.39
5530,1931.81
5540,2172.55
5550,2289.06
5560,2295.20
5570,2706.82
5580,2047.93
5590,1923.86
5600,1709.41
5610,1697.60
5620,2349.29
5630,2800.68
5640,2517.29
5650,2159.50
5660,1824.23
5670,1973.71
5680,2050.40
5690,1806.40
5700,2075.43
5710,2708.42
5720,2786.11
5730,2755.85
5740,2473.53
5750,2836.39
5760,1994.81
5770,1852.44
5780,2188.02
5790,1682.48
5800,2299.54
5810,1680.19
5820,2693.43
5830,1898.89
5840,2136.17
5850,2313.12
5860,2157.88
5870,2581.24
5880,2324.94
5890,2498.30
5900,2879.88
5910,2682.75
5920,2771.38
5930,2867.88
5940,1667.66
5950,2428.62
5960,1833.78
5970,2963.87
5980,2706.26
5990,2255.81
6000,2027.54
6010,1867.20
6020,2426.35
6030,2570.37
6040,2445.43
6050,1865.55
6060,2424.82
6070,2591.90
6080,1757.65
6090,2657.93
6100,1965.73
6110,2931.69
6120,2466.77
6130,2091.26
6140,2849.73
6150,1984.94
6160,2691.08
6170,3020.59
6180,2899.44
6190,2706.82
6200,1784.97
6210,2893.22
6220,2275.69
6230,2505.07
6240,2620.80
6250,1842.09
6260,2570.17
6270,2448.53
6280,2048.27
6290,2167.83
6300,1745.43
6310,1782.31
6320,1779.18
6330,1970.70
6340,2640.95
6350,1731.95
6360,2788.89
6370,2438.65
6380,2594.15
6390,2240.99
6400,2781.05
6410,2250.57
6420,3162.16
6430,1760.86
6440,2947.95
6450,3014.39
6460,2688.19
6470,1965.92
6480,1995.49
6490,3048.68
6500,2596.28
6510,2202.39
6520,2826.13
6530,1915.17
6540,2605.25
6550,3230.42
6560,2162.54
6570,1786.20
6580,2037.22
6590,1854.73
6600,2082.92
6610,3202.76
6620,3240.32
6630,2686.07
6640,2496.10
6650,3177.08
6660,3126.67
6670,1929.37
6680,2126.39
6690,2701.82
6700,2132.95
6710,2379.43
6720,2502.37
6730,3153.86
6740,2056.07
6750,2113.20
6760,2707.59
6770,3045.18
6780,1865.55
6790,2994.63
6800,2609.56
6810,2447.70
6820,2550.16
6830,3217.83
6840,2113.74
6850,2868.75
6860,2734.64
6870,2987.02
6880,1917.62
6890,3252.17
6900,2646.41
6910,3211.16
6920,3410.96
6930,2249.60
6940,2994.28
6950,2130.73
6960,1926.43
6970,2250.42
6980,3101.81
6990,3432.04
7000,3077.44
