n,Time
100,0.0
200,0.0
300,0.0
400,0.0
500,0.0
600,0.0
700,0.0
800,0.0
900,0.0
1000,0.0
1100,0.0
1200,0.0
1300,0.0
1400,0.0
1500,0.0
1600,0.0
1700,0.0
1800,0.0
1900,0.0
2000,0.0
2100,333.63182152249567
2200,348.03078331478486
2300,352.894656724523
2400,443.53523937701044
2500,353.0051767036717
2600,385.84233138973815
2700,439.3204362043345
2800,392.80609679385634
2900,448.6435705151287
3000,457.84855795590624
3100,468.5365922391187
3200,461.9883273833556
3300,402.6947858340874
3400,425.8166679748403
3500,444.1421778580554
3600,472.70036073269966
3700,504.4135592236776
3800,373.80010384518476
3900,425.22613806328576
4000,440.8805668718264
4100,433.80037672385646
4200,434.37043963553793
4300,432.31410490185476
4400,464.8839646966306
4500,453.4064797734359
4600,420.46884486989916
4700,504.39778890979983
4800,406.9453521737203
4900,533.5837883379643
5000,560.1807342673236
5100,524.120232544017
5200,552.4574492861608
5300,449.7476012281294
5400,479.80395183327084
5500,563.0621514202616
5600,435.8472623736887
5700,578.0497015597886
5800,549.8319812383716
5900,519.5037496985215
6000,541.6981283158041
6100,506.19752275834884
6200,557.2283309348979
6300,582.7609964997506
6400,562.6621530333825
6500,521.4974640014813
6600,477.44671894730766
6700,532.5198087350966
6800,447.3096672763859
6900,469.776434166704
7000,480.2027683278197
7100,486.7819522447877
7200,487.1987212623097
7300,558.4567636450379
7400,538.2493284313347
7500,515.4298956796438
7600,451.57693261942893
7700,400.70128254027264
7800,439.8410613662969
7900,516.714609339953
8000,412.46115999282097
8100,410.4116655130817
8200,439.2035502127075
8300,385.4549400764293
8400,460.815830469116
8500,441.7462480783319
8600,373.05547809295285
8700,398.6801460621404
8800,444.2940280909444
8900,412.132883600319
9000,416.34099757542657
9100,419.05516360877346
9200,355.53149747032893
9300,438.63998932917855
9400,342.9231461363966
9500,360.1986475160146
9600,421.6850552205488
9700,351.51526237247657
9800,366.83877835902354
9900,395.4681223494345
10000,375.5145356844359
