n,Time
1,0.0
1001,0.0
2001,2329.3434026801187
3001,2828.9225175353167
4001,3616.7478277175055
5001,3968.6526820489917
6001,3490.3409365345187
7001,3299.660702620898
8001,3722.117193152835
9001,3975.023323569581
10001,3971.69166614442
11001,4541.359676647095
12001,3771.2929058010286
13001,3322.3684657187046
14001,3287.54531937838
15001,3931.5720188232694
16001,2466.548978769191
17001,2207.6483404830037
18001,2089.459988919346
19001,2242.7362453729575
20001,1487.1343185288129
21001,979.2828733350258
22001,1065.492367774756
23001,863.0554328349439
