n,Time
1,0.0
1001,0.0
2001,864.8111774014234
3001,1342.1997966809345
4001,1305.1898726326046
5001,1467.165614502661
6001,1490.6562139401713
7001,1499.170397063132
8001,1587.6710483605582
9001,1606.3128031365713
10001,1982.4028471400022
11001,1780.138233041189
12001,1927.2076481161282
13001,1733.0950639209539
14001,1721.7681170200522
15001,1449.8591030500268
16001,1781.5890348845721
17001,1615.732965241138
18001,1525.0937193434163
19001,1590.8253782667612
20001,1113.1553365034383
21001,821.8284859938753
22001,689.205476473392
23001,727.4259954043982
