n,Time
50,0.00
150,0.00
250,0.00
350,0.00
450,0.00
550,0.00
650,0.00
750,0.00
850,0.00
950,0.00
1050,0.00
1150,0.00
1250,0.00
1350,0.00
1450,0.00
1550,0.00
1650,0.00
1750,0.00
1850,0.00
1950,0.00
2050,2097.19
2150,2506.84
2250,2267.38
2350,2618.45
2450,1948.17
2550,2107.43
2650,2628.45
2750,2479.51
2850,2082.23
2950,2175.57
3050,2314.14
3150,2693.91
3250,2005.16
3350,2202.11
3450,2024.93
3550,2478.87
3650,2523.72
3750,2209.67
3850,2237.75
3950,2388.38
4050,2402.18
4150,2125.10
4250,2509.74
4350,2281.16
4450,2557.86
4550,2310.52
4650,2460.12
4750,2565.59
4850,2807.68
4950,2529.88
5050,2309.85
5150,2349.74
5250,2815.30
5350,2258.03
5450,2776.35
5550,2492.88
5650,2415.87
5750,2276.65
5850,2992.97
5950,2957.63
6050,2648.30
6150,2413.15
6250,2674.59
6350,2503.06
6450,2880.29
6550,2535.65
6650,2827.32
6750,2662.15
6850,2700.63
6950,3048.15
7050,2639.12
7150,3042.08
7250,2338.75
7350,3158.27
7450,2832.56
7550,2444.03
7650,3201.12
7750,2448.88
7850,3241.63
7950,3181.00
8050,2568.54
8150,3294.08
8250,2759.25
8350,2814.05
8450,3305.23
8550,2931.00
8650,3434.42
8750,2544.63
8850,2842.95
8950,3350.88
9050,3421.45
9150,2938.06
9250,3014.62
9350,3170.54
9450,2769.24
9550,2806.21
9650,3083.35
9750,3589.64
9850,2839.46
9950,2699.03
