n,Time
50,0.00
150,0.00
250,0.00
350,0.00
450,0.00
550,0.00
650,0.00
750,0.00
850,0.00
950,0.00
1050,0.00
1150,0.00
1250,0.00
1350,0.00
1450,0.00
1550,0.00
1650,0.00
1750,0.00
1850,0.00
1950,0.00
2050,1876.87
2150,2108.54
2250,1727.47
2350,2099.66
2450,1791.53
2550,1665.37
2650,1741.02
2750,1998.72
2850,2093.70
2950,2122.55
3050,1703.17
3150,2190.10
3250,2205.36
3350,1813.64
3450,2040.57
3550,1838.06
3650,1918.75
3750,2238.76
3850,1849.60
3950,1780.56
4050,2176.55
4150,2172.44
4250,1975.49
4350,1972.40
4450,1900.86
4550,2295.24
4650,2028.07
4750,2252.51
4850,2387.42
4950,1927.63
5050,2341.47
5150,2166.49
5250,2109.50
5350,1819.14
5450,2160.47
5550,2422.37
5650,2179.80
5750,1912.35
5850,1848.77
5950,2086.29
6050,2431.66
6150,1889.00
6250,2125.77
6350,2534.36
6450,2482.72
6550,2147.99
6650,2554.47
6750,1904.31
6850,2496.17
6950,1933.82
7050,2081.96
7150,2391.59
7250,2610.46
7350,2129.96
7450,2032.81
7550,2082.12
7650,2695.09
7750,2449.76
7850,2741.65
7950,2068.98
8050,2742.21
8150,2759.25
8250,2584.03
8350,2346.78
8450,2113.20
8550,2606.25
8650,2509.97
8750,2442.00
8850,2194.50
8950,2273.85
9050,2417.15
9150,2215.31
9250,2929.18
9350,2832.54
9450,2854.80
9550,2903.48
9650,2852.93
9750,2979.00
9850,2352.20
9950,2501.49
