n,Time
50,0.00
150,0.00
250,0.00
350,0.00
450,0.00
550,0.00
650,0.00
750,0.00
850,0.00
950,0.00
1050,0.00
1150,0.00
1250,0.00
1350,0.00
1450,0.00
1550,0.00
1650,0.00
1750,0.00
1850,0.00
1950,0.00
2050,1587.06
2150,1452.41
2250,1593.10
2350,1541.00
2450,1459.77
2550,1450.35
2650,1602.58
2750,1443.84
2850,1626.60
2950,1750.18
3050,1632.88
3150,1546.91
3250,1620.43
3350,1546.72
3450,1633.68
3550,1643.72
3650,1592.02
3750,1657.78
3850,1608.13
3950,1676.09
4050,1566.59
4150,1618.27
4250,1684.16
4350,1637.80
4450,1570.07
4550,1603.81
4650,1553.91
4750,1628.18
4850,1841.34
4950,1718.29
5050,1676.97
5150,1856.16
5250,1866.62
5350,1746.86
5450,1764.84
5550,1646.07
5650,1676.07
5750,1847.02
5850,1793.92
5950,1716.35
6050,1822.84
6150,1793.21
6250,1776.37
6350,1765.60
6450,1994.87
6550,1941.32
6650,1738.45
6750,1842.65
6850,1761.49
6950,1899.62
7050,2043.29
7150,1941.23
7250,2117.52
7350,1852.82
7450,2130.34
7550,2146.31
7650,1806.29
7750,1964.72
7850,1927.84
7950,2167.91
8050,2115.35
8150,2197.06
8250,2204.19
8350,1848.20
8450,2050.18
8550,1902.71
8650,1910.24
8750,2264.44
8850,2165.13
8950,1933.00
9050,2048.42
9150,2326.35
9250,2023.78
9350,2308.02
9450,2236.73
9550,2226.54
9650,2040.46
9750,2237.91
9850,2188.97
9950,2145.97
