n,Time
10,209.75
20,212.17
30,202.23
40,204.98
50,219.76
60,209.6
70,211.75
80,225.59
90,217.32
100,240.95
110,240.06
120,242.67
130,237.43
140,236.12
150,272.39
160,240.17
170,253.58
180,281.09
190,285.45
200,300.31
210,323.85
220,351.83
230,303.06
240,356.45
250,325.24
260,314.37
270,302.6
280,356.77
290,370.71
300,411.15
310,429.19
320,489.09
330,449.08
340,482.98
350,400.78
360,365.31
370,487.5
380,476.8
390,643.3
400,472.4
410,518.28
420,618.11
430,535.86
440,567.62
450,730.35
460,565.35
470,759.95
480,562.58
490,653.52
500,680.25
510,718.38
520,643.85
530,743.12
540,890.92
550,785.23
560,805.87
570,861.88
580,901.15
590,828.86
600,714.95
610,1013.28
620,974.56
630,1017.14
640,957.47
650,1026.39
660,937.6
670,953.36
680,979.4
690,1260.0
700,1028.98
710,1355.79
720,1338.46
730,1071.13
740,1235.4
750,1119.49
760,1221.58
770,1219.95
780,1484.16
790,1234.52
800,1422.32
810,1450.75
820,1536.2
830,1590.63
840,1403.01
850,1421.03
860,1394.14
870,1368.46
880,1871.08
890,1326.64
900,1636.94
910,1596.39
920,1393.15
930,1491.54
940,1816.66
950,1655.75
960,1787.46
970,1577.04
980,1453.04
990,1636.36
1000,1603.74
1010,1713.47
1020,1875.15
1030,2030.67
1040,2047.75
1050,2074.81
1060,1973.75
1070,2159.36
1080,2151.85
1090,1758.98
1100,2094.89
1110,2023.06
1120,2350.89
1130,1555.23
1140,2039.08
1150,2212.63
1160,2102.3
1170,2183.33
1180,2179.31
1190,2241.76
1200,2448.86
1210,2032.23
1220,1840.89
1230,2194.95
1240,2226.88
1250,2329.24
1260,2064.75
1270,2230.6
1280,2335.77
1290,2060.2
1300,1972.49
1310,2202.25
1320,2480.68
1330,2458.71
1340,2801.49
1350,2234.49
1360,2356.28
1370,2488.66
1380,2105.3
1390,2150.95
1400,2653.63
1410,2431.07
1420,2059.17
1430,2281.28
1440,2409.95
1450,2538.17
1460,2753.69
1470,2639.66
1480,2864.48
1490,2803.98
1500,2476.44
1510,2799.84
1520,2662.17
1530,2823.2
1540,2229.22
1550,2651.07
1560,2679.75
1570,2528.91
1580,2889.58
1590,2443.39
1600,2726.47
1610,2450.91
1620,2768.62
1630,2678.73
1640,1989.77
1650,2361.2
1660,2545.95
1670,2295.98
1680,2201.0
1690,2528.39
1700,2807.48
1710,2588.68
1720,2665.8
1730,2419.2
1740,3003.62
1750,2547.82
1760,2614.6
1770,2822.38
1780,2444.58
1790,3024.62
1800,2477.03
1810,2634.79
1820,2398.98
1830,2760.56
1840,2679.01
1850,3320.79
1860,2778.02
1870,2656.19
1880,2723.27
1890,2813.07
1900,2899.64
1910,3171.23
1920,3063.2
1930,3072.54
1940,2474.34
1950,2920.54
1960,3081.83
1970,3037.11
1980,2456.44
1990,3207.6
2000,2451.61
2010,2897.56
2020,2723.79
2030,2763.02
2040,2894.68
2050,2956.36
2060,3061.83
2070,2606.69
2080,3273.48
2090,3045.59
2100,2747.09
2110,2604.0
2120,3499.42
2130,3142.06
2140,2436.98
2150,3102.56
2160,2872.21
2170,2831.88
2180,2899.4
2190,2855.64
2200,2720.75
2210,3068.79
2220,2558.94
2230,2946.41
2240,3343.79
2250,3309.45
2260,2774.23
2270,3026.76
2280,2603.85
2290,3248.68
2300,2874.85
2310,3087.2
2320,3050.54
2330,3610.2
2340,3070.0
2350,2618.66
