n,Time
100,0.0
200,0.0
300,0.0
400,0.0
500,0.0
600,0
700,0
800,0
900,0
1000,0
1100,364.89268500021603
1200,378.306370029748
1300,326.9202622314355
1400,308.54886365792254
1500,280.24245406718205
1600,286.7446831837285
1700,346.05790555744545
1800,405.41307699978154
1900,310.1558284939131
2000,459.7183890270368
2100,334.72320353958395
2200,366.20715045501805
2300,448.69262842382096
2400,459.9141094368926
2500,410.17313734572775
2600,429.33677869830547
2700,447.5021736758616
2800,514.8638484027717
2900,410.2078401675714
3000,418.29256245151015
3100,473.2693389072698
3200,556.1803084138033
3300,606.3629880857396
3400,505.1697587573286
3500,720.9466613546778
3600,698.1354995567779
3700,542.0504986020576
3800,580.7597047791982
3900,819.6096369107039
4000,664.9491877817343
4100,831.0882156494221
4200,756.8218546963985
4300,729.9491004200995
4400,826.6712437540343
4500,824.1320210558706
4600,907.9415156277859
4700,883.3886975729263
4800,988.5182917331173
4900,987.8837231271801
5000,939.2070671073639
5100,907.6329804384766
5200,872.5478272535449
5300,897.7631188905074
5400,851.7970568553758
5500,807.2287440879907
5600,852.928531724507
5700,1022.8575287239273
5800,900.6106497609428
5900,1093.1167877986597
6000,1029.4608716945359
6100,878.2515521891403
6200,870.9441563852416
6300,920.8653703509408
6400,1115.9382118959365
6500,955.6312867429859
6600,941.2989095033381
6700,1025.4325832626903
6800,1191.5490944597252
6900,1171.0744131344768
7000,1080.3879097956572
7100,941.2802777551836
7200,919.6086665093151
7300,783.4031478403161
7400,1049.4277490357504
7500,1053.9007380955231
7600,932.3369425074651
7700,970.2921066735673
7800,708.314338958443
7900,695.6522181161946
8000,738.3039259105698
8100,622.1082600433477
8200,652.5299455639383
8300,606.1199781845824
8400,661.9688276185167
8500,513.0573747264393
8600,512.0068982956581
8700,450.71580296370314
8800,614.3590997092607
8900,497.9013266310386
9000,453.5565699761555
9100,471.0012494700307
9200,344.09324681214645
9300,453.82915152485475
9400,351.15231986634325
9500,425.1952185669561
9600,299.4181589887028
9700,363.28665333076844
9800,253.51213810666698
9900,245.17770774756266
10000,300.4070143966047
