n,Time
100,0.00
200,0.00
300,0.00
400,0.00
500,0.00
600,0.00
700,0.00
800,0.00
900,0.00
1000,0.00
1100,821.24
1200,713.09
1300,809.05
1400,641.43
1500,890.19
1600,929.54
1700,877.23
1800,1145.37
1900,866.97
2000,1002.38
2100,996.66
2200,1172.36
2300,1034.65
2400,1121.25
2500,1071.11
2600,1226.02
2700,1144.10
2800,1405.03
2900,1610.74
3000,1568.41
3100,1420.88
3200,1289.15
3300,2023.23
3400,1563.61
3500,1794.02
3600,1494.31
3700,1652.51
3800,1930.25
3900,2315.87
4000,1911.47
4100,1985.62
4200,1861.73
4300,1975.46
4400,2152.86
4500,2723.16
4600,2096.91
4700,2880.90
4800,2884.92
4900,2771.73
5000,2783.77
5100,2660.09
5200,2365.66
5300,2998.87
5400,2200.92
5500,2380.71
5600,3072.78
5700,2290.08
5800,2261.73
5900,2708.52
6000,1981.88
6100,2146.62
6200,2016.67
6300,1997.93
6400,2401.62
6500,2752.28
6600,1990.17
6700,1838.90
6800,1696.01
6900,1666.29
7000,2214.68
7100,2011.48
7200,1861.05
7300,1518.67
7400,1792.02
7500,1958.27
7600,1800.69
7700,1803.37
7800,1566.29
7900,1491.49
8000,1314.46
8100,1614.21
8200,1352.86
8300,1348.41
8400,1367.63
8500,1078.35
8600,1265.87
8700,997.50
8800,1108.58
8900,863.67
9000,686.56
9100,675.24
9200,634.07
9300,686.24
9400,577.32
9500,597.40
9600,600.52
9700,510.99
9800,538.54
9900,552.70
10000,680.82
