n,Time
101,0.00
201,0.00
301,0.00
401,0.00
501,0.00
601,0.00
701,0.00
801,0.00
901,0.00
1001,0.00
1101,876.18
1201,998.58
1301,845.62
1401,991.91
1501,1105.72
1601,1124.12
1701,867.37
1801,1020.18
1901,1011.73
2001,1121.75
2101,1149.26
2201,1126.16
2301,986.85
2401,998.01
2501,1128.45
2601,1101.74
2701,1011.64
2801,1283.44
2901,1181.74
3001,1034.54
3101,1294.75
3201,1143.37
3301,1266.68
3401,1200.32
3501,1066.82
3601,1135.50
3701,1186.79
3801,1266.53
3901,1032.38
4001,1049.93
4101,989.00
4201,1229.95
4301,1144.90
4401,1016.47
4501,1090.36
4601,1187.54
4701,1248.31
4801,1088.96
4901,1163.81
5001,1169.00
5101,1166.61
5201,1016.93
5301,1028.49
5401,1052.38
5501,912.20
5601,905.22
5701,1056.46
5801,898.83
5901,928.59
6001,812.79
6101,974.84
6201,876.48
6301,932.66
6401,751.82
6501,753.70
6601,798.82
6701,826.46
6801,852.23
6901,752.98
7001,710.77
7101,653.23
7201,751.11
7301,789.81
7401,783.50
7501,648.91
7601,569.58
7701,548.79
7801,615.75
7901,530.55
8001,662.82
8101,636.94
8201,586.83
8301,619.94
8401,629.19
8501,554.49
8601,562.98
8701,490.36
8801,515.35
8901,569.35
9001,551.44
9101,518.55
9201,411.46
9301,537.49
9401,424.11
9501,394.73
9601,459.24
9701,390.37
9801,403.15
9901,380.18
10001,433.20
